timeline,survival_probability,group,color,linestyle
0.0,1.0,Low Risk - Unweighted,blue,solid
1.0,0.9992907801418432,Low Risk - Unweighted,blue,solid
2.0,0.9992907801418432,Low Risk - Unweighted,blue,solid
3.0,0.9971278130852594,Low Risk - Unweighted,blue,solid
4.0,0.9949601439263782,Low Risk - Unweighted,blue,solid
5.0,0.993505523832919,Low Risk - Unweighted,blue,solid
6.0,0.9920314800290126,Low Risk - Unweighted,blue,solid
7.0,0.9920314800290126,Low Risk - Unweighted,blue,solid
8.0,0.9912782290950505,Low Risk - Unweighted,blue,solid
9.0,0.9905168786886794,Low Risk - Unweighted,blue,solid
10.0,0.9905168786886794,Low Risk - Unweighted,blue,solid
11.0,0.9905168786886794,Low Risk - Unweighted,blue,solid
12.0,0.9889345833553107,Low Risk - Unweighted,blue,solid
13.0,0.9889345833553107,Low Risk - Unweighted,blue,solid
14.0,0.9881213147834721,Low Risk - Unweighted,blue,solid
15.0,0.9881213147834721,Low Risk - Unweighted,blue,solid
16.0,0.9881213147834721,Low Risk - Unweighted,blue,solid
17.0,0.9864493667043115,Low Risk - Unweighted,blue,solid
18.0,0.9856033552405855,Low Risk - Unweighted,blue,solid
19.0,0.9847514940865315,Low Risk - Unweighted,blue,solid
20.0,0.9838944431778396,Low Risk - Unweighted,blue,solid
21.0,0.9838944431778396,Low Risk - Unweighted,blue,solid
22.0,0.9838944431778396,Low Risk - Unweighted,blue,solid
23.0,0.9838944431778396,Low Risk - Unweighted,blue,solid
24.0,0.9829983644499908,Low Risk - Unweighted,blue,solid
25.0,0.9829983644499908,Low Risk - Unweighted,blue,solid
26.0,0.9829983644499908,Low Risk - Unweighted,blue,solid
27.0,0.9829983644499908,Low Risk - Unweighted,blue,solid
28.0,0.9829983644499908,Low Risk - Unweighted,blue,solid
29.0,0.9811061635559583,Low Risk - Unweighted,blue,solid
30.0,0.9791936759077011,Low Risk - Unweighted,blue,solid
31.0,0.9791936759077011,Low Risk - Unweighted,blue,solid
32.0,0.9791936759077011,Low Risk - Unweighted,blue,solid
33.0,0.9791936759077011,Low Risk - Unweighted,blue,solid
34.0,0.9782015850506514,Low Risk - Unweighted,blue,solid
35.0,0.977204437665278,Low Risk - Unweighted,blue,solid
36.0,0.9761928388685235,Low Risk - Unweighted,blue,solid
37.0,0.9751674262226536,Low Risk - Unweighted,blue,solid
38.0,0.9731013935399788,Low Risk - Unweighted,blue,solid
39.0,0.9731013935399788,Low Risk - Unweighted,blue,solid
40.0,0.9720448230801095,Low Risk - Unweighted,blue,solid
41.0,0.9720448230801095,Low Risk - Unweighted,blue,solid
42.0,0.9720448230801095,Low Risk - Unweighted,blue,solid
43.0,0.9709611610699868,Low Risk - Unweighted,blue,solid
44.0,0.9709611610699868,Low Risk - Unweighted,blue,solid
45.0,0.9698540217757226,Low Risk - Unweighted,blue,solid
46.0,0.9698540217757226,Low Risk - Unweighted,blue,solid
47.0,0.9698540217757226,Low Risk - Unweighted,blue,solid
48.0,0.9687049056361775,Low Risk - Unweighted,blue,solid
49.0,0.9687049056361775,Low Risk - Unweighted,blue,solid
50.0,0.9675119192991873,Low Risk - Unweighted,blue,solid
51.0,0.9675119192991873,Low Risk - Unweighted,blue,solid
52.0,0.966274691780902,Low Risk - Unweighted,blue,solid
53.0,0.966274691780902,Low Risk - Unweighted,blue,solid
54.0,0.9649741874850999,Low Risk - Unweighted,blue,solid
55.0,0.9649741874850999,Low Risk - Unweighted,blue,solid
56.0,0.9636150689111769,Low Risk - Unweighted,blue,solid
57.0,0.9636150689111769,Low Risk - Unweighted,blue,solid
58.0,0.9636150689111769,Low Risk - Unweighted,blue,solid
59.0,0.9636150689111769,Low Risk - Unweighted,blue,solid
60.0,0.9636150689111769,Low Risk - Unweighted,blue,solid
61.0,0.9636150689111769,Low Risk - Unweighted,blue,solid
62.0,0.9619622128753093,Low Risk - Unweighted,blue,solid
63.0,0.9619622128753093,Low Risk - Unweighted,blue,solid
64.0,0.9601368576326617,Low Risk - Unweighted,blue,solid
