timeline,survival_probability,group,color,linestyle
0.0,1.0,Low Risk - Unweighted,blue,solid
1.0,0.9988726042841041,Low Risk - Unweighted,blue,solid
2.0,0.9988726042841041,Low Risk - Unweighted,blue,solid
3.0,0.997156328331726,Low Risk - Unweighted,blue,solid
4.0,0.9942859877205238,Low Risk - Unweighted,blue,solid
5.0,0.993129841223174,Low Risk - Unweighted,blue,solid
6.0,0.9913762276130093,Low Risk - Unweighted,blue,solid
7.0,0.9907850670717966,Low Risk - Unweighted,blue,solid
8.0,0.9883933107240073,Low Risk - Unweighted,blue,solid
9.0,0.9865797450162566,Low Risk - Unweighted,blue,solid
10.0,0.9865797450162566,Low Risk - Unweighted,blue,solid
11.0,0.9859580816608582,Low Risk - Unweighted,blue,solid
12.0,0.9846996795145136,Low Risk - Unweighted,blue,solid
13.0,0.9846996795145136,Low Risk - Unweighted,blue,solid
14.0,0.984051850777991,Low Risk - Unweighted,blue,solid
15.0,0.984051850777991,Low Risk - Unweighted,blue,solid
16.0,0.984051850777991,Low Risk - Unweighted,blue,solid
17.0,0.9813868491509684,Low Risk - Unweighted,blue,solid
18.0,0.9807132823361773,Low Risk - Unweighted,blue,solid
19.0,0.9800359941577687,Low Risk - Unweighted,blue,solid
20.0,0.9793549406524474,Low Risk - Unweighted,blue,solid
21.0,0.9779813713107189,Low Risk - Unweighted,blue,solid
22.0,0.9779813713107189,Low Risk - Unweighted,blue,solid
23.0,0.9779813713107189,Low Risk - Unweighted,blue,solid
24.0,0.9765609190648066,Low Risk - Unweighted,blue,solid
25.0,0.9765609190648066,Low Risk - Unweighted,blue,solid
26.0,0.9765609190648066,Low Risk - Unweighted,blue,solid
27.0,0.9758288644028397,Low Risk - Unweighted,blue,solid
28.0,0.9743492148737979,Low Risk - Unweighted,blue,solid
29.0,0.9728548142374878,Low Risk - Unweighted,blue,solid
30.0,0.9705888480552576,Low Risk - Unweighted,blue,solid
31.0,0.9705888480552576,Low Risk - Unweighted,blue,solid
32.0,0.9705888480552576,Low Risk - Unweighted,blue,solid
33.0,0.9705888480552576,Low Risk - Unweighted,blue,solid
34.0,0.969024643626482,Low Risk - Unweighted,blue,solid
35.0,0.968238097649513,Low Risk - Unweighted,blue,solid
36.0,0.9674418492139456,Low Risk - Unweighted,blue,solid
37.0,0.9642089608289366,Low Risk - Unweighted,blue,solid
38.0,0.9625816039330234,Low Risk - Unweighted,blue,solid
39.0,0.9625816039330234,Low Risk - Unweighted,blue,solid
40.0,0.9617489208846379,Low Risk - Unweighted,blue,solid
41.0,0.9617489208846379,Low Risk - Unweighted,blue,solid
42.0,0.9617489208846379,Low Risk - Unweighted,blue,solid
43.0,0.9608978156449172,Low Risk - Unweighted,blue,solid
44.0,0.9608978156449172,Low Risk - Unweighted,blue,solid
45.0,0.9600282248615281,Low Risk - Unweighted,blue,solid
46.0,0.9600282248615281,Low Risk - Unweighted,blue,solid
47.0,0.9591351753500295,Low Risk - Unweighted,blue,solid
48.0,0.9582303308449823,Low Risk - Unweighted,blue,solid
49.0,0.9582303308449823,Low Risk - Unweighted,blue,solid
50.0,0.9572881181302874,Low Risk - Unweighted,blue,solid
51.0,0.9563327407668839,Low Risk - Unweighted,blue,solid
52.0,0.955357885781392,Low Risk - Unweighted,blue,solid
53.0,0.955357885781392,Low Risk - Unweighted,blue,solid
54.0,0.9543393805726699,Low Risk - Unweighted,blue,solid
55.0,0.953299795190782,Low Risk - Unweighted,blue,solid
56.0,0.9522346557548141,Low Risk - Unweighted,blue,solid
57.0,0.9500354995059574,Low Risk - Unweighted,blue,solid
58.0,0.9500354995059574,Low Risk - Unweighted,blue,solid
59.0,0.948866944156012,Low Risk - Unweighted,blue,solid
60.0,0.948866944156012,Low Risk - Unweighted,blue,solid
61.0,0.948866944156012,Low Risk - Unweighted,blue,solid
62.0,0.9475671264242915,Low Risk - Unweighted,blue,solid
63.0,0.9475671264242915,Low Risk - Unweighted,blue,solid
64.0,0.9446957108896727,Low Risk - Unweighted,blue,solid
65.0,0.9431938099184644,Low Risk - Unweighted,blue,solid
66.0,0.9416296410794615,Low Risk - Unweighted,blue,solid
67.0,0.9416296410794615,Low Risk - Unweighted,blue,solid
68.0,0.9399481595775341,Low Risk - Unweighted,blue,solid
69.0,0.938191247129726,Low Risk - Unweighted,blue,solid
70.0,0.938191247129726,Low Risk - Unweighted,blue,solid
71.0,0.938191247129726,Low Risk - Unweighted,blue,solid
72.0,0.9362285039348939,Low Risk - Unweighted,blue,solid
73.0,0.9362285039348939,Low Risk - Unweighted,blue,solid
74.0,0.934066313394629,Low Risk - Unweighted,blue,solid
